debugWQw6S:debugWWdLS,0,1530657954395,"{""phase"": ""INSTRUCTIONS"", ""templates"": [""instructions/instruct-ready.html""], ""action"": ""Begin""}"
debugWQw6S:debugWWdLS,1,1530657958327,"{""phase"": ""INSTRUCTIONS"", ""indexOf"": 0, ""viewTime"": 3930, ""action"": ""FinishInstructions"", ""template"": ""instructions/instruct-ready.html""}"
debugu6h6e:debugFOhOU,0,1530662699464,"{""phase"": ""INSTRUCTIONS"", ""templates"": [""instructions/instruct-ready.html""], ""action"": ""Begin""}"
debugu6h6e:debugFOhOU,1,1530662703067,"{""phase"": ""INSTRUCTIONS"", ""indexOf"": 0, ""viewTime"": 3600, ""action"": ""FinishInstructions"", ""template"": ""instructions/instruct-ready.html""}"
debugu6h6e:debugFOhOU,2,1530662706159,"{""trial_type"": ""fullscreen"", ""time_elapsed"": 3006, ""trial_index"": 0, ""success"": true, ""internal_node_id"": ""0.0-0.0""}"
debugu6h6e:debugFOhOU,3,1530662706159,{}
debugu6h6e:debugFOhOU,4,1530662715000,"{""rt"": 8841, ""trial_type"": ""instructions"", ""view_history"": ""[{\""page_index\"":0,\""viewing_time\"":2013},{\""page_index\"":1,\""viewing_time\"":1079},{\""page_index\"":2,\""viewing_time\"":5749}]"", ""internal_node_id"": ""0.0-1.0"", ""time_elapsed"": 11848, ""trial_index"": 1}"
debugu6h6e:debugFOhOU,5,1530662715000,{}
debugu6h6e:debugFOhOU,6,1530662735128,"{""rt"": 20127, ""trial_type"": ""instructions"", ""view_history"": ""[{\""page_index\"":0,\""viewing_time\"":674},{\""page_index\"":1,\""viewing_time\"":607},{\""page_index\"":2,\""viewing_time\"":3297},{\""page_index\"":3,\""viewing_time\"":2262},{\""page_index\"":4,\""viewing_time\"":5996},{\""page_index\"":5,\""viewing_time\"":1665},{\""page_index\"":6,\""viewing_time\"":1079},{\""page_index\"":7,\""viewing_time\"":776},{\""page_index\"":8,\""viewing_time\"":1217},{\""page_index\"":9,\""viewing_time\"":752},{\""page_index\"":10,\""viewing_time\"":1801}]"", ""internal_node_id"": ""0.0-2.0-0.0"", ""time_elapsed"": 31976, ""trial_index"": 2}"
debugu6h6e:debugFOhOU,7,1530662735128,{}
debugu6h6e:debugFOhOU,8,1530662735379,"{""rt"": null, ""trial_type"": ""html-keyboard-response"", ""stimulus"": ""<div style=\""font-size:60px;\"">+</div>"", ""internal_node_id"": ""0.0-2.0-1.0"", ""test_part"": ""fixation"", ""time_elapsed"": 32227, ""key_press"": null, ""trial_index"": 3}"
debugu6h6e:debugFOhOU,9,1530662735379,{}
debugu6h6e:debugFOhOU,10,1530662743381,"{""rt"": null, ""trial_type"": ""image-button-response"", ""button_pressed"": null, ""stimulus"": ""static/images/0.jpg"", ""button_order"": [], ""time_elapsed"": 40229, ""internal_node_id"": ""0.0-2.0-2.0"", ""trial_index"": 4}"
debugu6h6e:debugFOhOU,11,1530662743381,{}
debugu6h6e:debugFOhOU,12,1530662746795,"{""rt"": 3413, ""trial_type"": ""html-button-response"", ""button_pressed"": ""1"", ""stimulus"": ""<p>Ok, very simple, right?</p><p>To repeat the example, click on <b>\""Repeat the example.\""</b> button.</p><p>Ready for the task? Click on the <b>\""I'm ready!\""</b> button.</p>"", ""internal_node_id"": ""0.0-2.0-3.0"", ""time_elapsed"": 43643, ""trial_index"": 5}"
debugu6h6e:debugFOhOU,13,1530662746795,{}
debugu6h6e:debugFOhOU,14,1530662752241,"{""rt"": 5446, ""trial_type"": ""html-button-response"", ""button_pressed"": ""0"", ""stimulus"": ""<p>In this part of survey, we ask you to answer the following question.</br></p><p><b>\""What is the REALISTICITY the artwork shown?\""</b></br></p><b>-2 = 'ABSTRACT', -1 = 'SLIGHTLY ABSTRACT', 0 = 'NEUTRAL', 1 = 'SLIGHTLY CONCRETE',  and 2 = 'CONCRETE'.\""</b></br></p><p>Click on the button below to begin.</p>"", ""internal_node_id"": ""0.0-3.0"", ""time_elapsed"": 49089, ""trial_index"": 6}"
debugu6h6e:debugFOhOU,15,1530662752241,{}
debugu6h6e:debugFOhOU,16,1530662752494,"{""rt"": null, ""trial_type"": ""html-keyboard-response"", ""stimulus"": ""<div style=\""font-size:60px;\"">+</div>"", ""internal_node_id"": ""0.0-4.0-0.0"", ""test_part"": ""fixation"", ""time_elapsed"": 49342, ""key_press"": null, ""trial_index"": 7}"
debugu6h6e:debugFOhOU,17,1530662752494,{}
debugu6h6e:debugFOhOU,18,1530662755222,"{""rt"": 2726, ""trial_type"": ""image-button-response"", ""button_pressed"": ""2"", ""stimulus"": ""static/images/abstract/selam-trilogy.jpg!PinterestLarge.jpg"", ""button_order"": [""-2"", ""-1"", ""0"", ""1"", ""2""], ""time_elapsed"": 52070, ""internal_node_id"": ""0.0-4.0-1.0"", ""trial_index"": 8}"
debugu6h6e:debugFOhOU,19,1530662755222,{}
debugu6h6e:debugFOhOU,20,1530662755472,"{""rt"": null, ""trial_type"": ""html-keyboard-response"", ""stimulus"": ""<div style=\""font-size:60px;\"">+</div>"", ""internal_node_id"": ""0.0-4.0-0.1"", ""test_part"": ""fixation"", ""time_elapsed"": 52320, ""key_press"": null, ""trial_index"": 9}"
debugu6h6e:debugFOhOU,21,1530662755472,{}
debugu6h6e:debugFOhOU,22,1530662757549,"{""rt"": 2076, ""trial_type"": ""image-button-response"", ""button_pressed"": ""2"", ""stimulus"": ""static/images/impressionism/rockport-boats-in-a-harbor.jpg!PinterestLarge.jpg"", ""button_order"": [""-2"", ""-1"", ""0"", ""1"", ""2""], ""time_elapsed"": 54397, ""internal_node_id"": ""0.0-4.0-1.1"", ""trial_index"": 10}"
debugu6h6e:debugFOhOU,23,1530662757549,{}
debugu6h6e:debugFOhOU,24,1530662757804,"{""rt"": null, ""trial_type"": ""html-keyboard-response"", ""stimulus"": ""<div style=\""font-size:60px;\"">+</div>"", ""internal_node_id"": ""0.0-4.0-0.2"", ""test_part"": ""fixation"", ""time_elapsed"": 54652, ""key_press"": null, ""trial_index"": 11}"
debugu6h6e:debugFOhOU,25,1530662757804,{}
debugu6h6e:debugFOhOU,26,1530662761352,"{""rt"": 3547, ""trial_type"": ""image-button-response"", ""button_pressed"": ""2"", ""stimulus"": ""static/images/abstract/concentric-1925.jpg!PinterestLarge.jpg"", ""button_order"": [""-2"", ""-1"", ""0"", ""1"", ""2""], ""time_elapsed"": 58200, ""internal_node_id"": ""0.0-4.0-1.2"", ""trial_index"": 12}"
debugu6h6e:debugFOhOU,27,1530662761352,{}
debugu6h6e:debugFOhOU,28,1530662761606,"{""rt"": null, ""trial_type"": ""html-keyboard-response"", ""stimulus"": ""<div style=\""font-size:60px;\"">+</div>"", ""internal_node_id"": ""0.0-4.0-0.3"", ""test_part"": ""fixation"", ""time_elapsed"": 58454, ""key_press"": null, ""trial_index"": 13}"
debugu6h6e:debugFOhOU,29,1530662761606,{}
