artwork,abstract,accuracy,animacy,balance,colorsat,colortemp,complexity,depth,emotion,realism,stroke,symbolism,pc1-concreteness,pc2-energy,pc3-colorrad,saliency_standardized
62Munch-The_Scream,2.133333333,4.4,3.466666667,3.266666667,3.933333333,2,2.933333333,2.866666667,4.133333333,1.933333333,4,4.2,1.214127577,0.899827597,-0.281888829,-0.346712211
63picasso-dora maar au chat,1.8,4.533333333,2.066666667,2.733333333,3.666666667,3.6,3.6,1.933333333,2.866666667,1.666666667,2.6,3.533333333,1.56475345,0.044824121,0.161321464,1.594297936
64van-gogh-self-portrait,4.066666667,2.533333333,2.2,2.466666667,2.933333333,3.6,2,2.2,2.533333333,4.533333333,2.533333333,2.266666667,-0.285823678,-0.914551364,0.487745766,1.463895508
65poppiesClaude_Monet_037,3.733333333,2.533333333,3.466666667,3.266666667,2.333333333,3.466666667,2.8,3.466666667,2.066666667,4.266666667,3.266666667,1.666666667,-0.407404806,-0.348402889,1.259481845,0.371219469
66Schiele - the artists wife,4,3.066666667,2.666666667,2.6,4.133333333,2,2.333333333,2.466666667,3.2,4.4,2.533333333,2.333333333,-0.399574276,-0.465910893,-1.221311395,0.68673583
67turner-ancient italy ovid banished from rome,3.133333333,2.933333333,1.933333333,3.4,3.133333333,1.666666667,3.4,3,2.4,3.4,3.533333333,2.666666667,0.246167918,-0.688731349,-0.644556156,-0.993896718
68_5174410_happy3lambs,4.066666667,2.4,3.066666667,3.133333333,4,1.733333333,2.8,3.4,3.133333333,3.8,2.133333333,1.933333333,-0.909662225,0.015406698,-1.411597987,-0.781071463
69vanGogh_Starry_Night_Over_the_Rhone,2.866666667,3.266666667,2.2,2.2,3.6,4.4,3.4,3.266666667,3.066666667,3.4,3.6,2.666666667,0.554797928,0.185781664,1.194332512,-0.037916758
70Vermeer_The_Girl_With_The_Pearl_Earring_(1665),4.8,1.4,2.266666667,2.266666667,2.933333333,3.733333333,1.8,2.666666667,3.4,4.666666667,1.8,2.066666667,-1.181375634,-0.334977076,0.315062245,0.85477468
71Hundertwasser Poster,1.4,4.8,3,2.2,4.933333333,2.4,4.733333333,2.533333333,3,1.333333333,2.733333333,3.933333333,1.567302592,0.891372559,-1.225949405,0.830766548
72Hundertwasser-Blobs-Grow,1.2,4.733333333,2.733333333,2.8,4.733333333,3,4,2.466666667,3,1.266666667,2.4,3.466666667,1.531267828,0.576636178,-0.797063444,0.529026225
73painting-10,3,2.8,4.466666667,3.8,4.466666667,3.533333333,4.466666667,3.933333333,4.2,1.333333333,2.333333333,3.933333333,0.089747977,2.538585068,-0.07839926,-1.247270597
74painting-02,3.733333333,2.733333333,4,3.333333333,4.133333333,2,3.666666667,3.933333333,4.266666667,1.933333333,1.866666667,3.4,-0.547836181,1.816920098,-1.199896017,-0.475346998
75art-nouveau-cat-painting,3.2,3.333333333,2.2,2.266666667,4.333333333,2,3.6,2.133333333,3.133333333,2.133333333,2.2,3,0.417094193,-0.007762284,-1.602120124,-0.448762369
76walker-1,3.333333333,3.266666667,2.933333333,3.466666667,4.4,2.866666667,3.6,3.733333333,3.4,2.666666667,2.666666667,3,0.017584675,0.835311339,-0.584367705,-0.183971242
77vertical-sunflower-laura-grisham,3.133333333,3.466666667,1.933333333,2.733333333,4.666666667,1.6,2.4,1.933333333,2.866666667,3.133333333,2.066666667,2.133333333,0.15968862,-0.958857364,-2.107307926,-0.052180459
78imari,4.2,2.866666667,3.466666667,3.066666667,3.533333333,1.933333333,1.933333333,1.733333333,2.8,3.866666667,1.866666667,2.8,-0.411299458,-0.464343552,-1.14175713,-0.432413053
79ikenaga yasunari (15),4.466666667,1.933333333,2.533333333,2.466666667,1.8,3.866666667,2.333333333,2.333333333,2.933333333,4.4,1.2,1.666666667,-0.990821073,-0.409116759,0.857600811,-1.380941071
80il_570xN,2.466666667,3.6,1.6,3.466666667,2.066666667,3.333333333,1.866666667,1.666666667,2.133333333,2.533333333,2.866666667,2.4,0.992825172,-1.471859947,0.894874831,-1.49041736
81traditional-thai-paintings-lotus,2.4,3.6,2.733333333,2.466666667,4,1.466666667,4.2,2.066666667,2.8,1.933333333,1.533333333,2.6,0.461328897,0.094406183,-1.95957645,-1.055560073
82African-Art-Paintings-002,2.866666667,3.8,3.733333333,2.133333333,4.6,1.466666667,3.133333333,1.666666667,3.2,2.933333333,1.866666667,2.933333333,0.299279512,0.182244858,-2.008075085,-0.815387382
83AFRICAN_RHYTHM_PAINT_XL,1.733333333,4.8,3.266666667,2.4,4.6,2.6,4.066666667,2,3.2,1.266666667,2.4,3.333333333,1.41564989,0.666668563,-0.989877682,-0.481696169
84_7-CV-50,2.533333333,4.333333333,4.333333333,2.733333333,3.8,4,3.666666667,3.2,4.2,2.2,2.133333333,3.8,0.600488019,1.979192893,0.655833485,-0.118766941
85_2003_cuban_painting_alberto_4_la_cola,2.933333333,4.266666667,3.733333333,2.6,3.6,2.333333333,3.266666667,2.6,2.8,2.4,1.6,3.333333333,0.375016701,0.539673657,-0.811298432,-0.061842691
86original-paintings-two-lovely-australian-terrier,4.666666667,1.666666667,3.133333333,2.533333333,2.866666667,3.466666667,2.066666667,3,3.4,4.733333333,2.466666667,1.333333333,-1.182246328,-0.164868532,0.570744833,-0.20714909
87the_dawn,2.333333333,4.133333333,4.2,2.466666667,4.2,4.333333333,4.266666667,2.533333333,3.6,1.533333333,2.933333333,3.333333333,1.129464613,1.574576092,0.801478764,0.083353402
88look-of-Egyption-750x1024,3.8,3,2.266666667,3.066666667,4.4,2.333333333,3.066666667,2.466666667,3.066666667,3.266666667,2.466666667,3.466666667,0.05516286,-0.031411469,-1.275124725,-0.674191697
89timthumb,3.933333333,1.8,2.533333333,3.133333333,3.8,3.466666667,3,3.933333333,3.2,3.333333333,1.8,2.2,-0.915852585,0.465928838,-0.243156862,0.051317464
90Landscape_Painting_by_lorienelf,2.6,3.8,2.2,3.133333333,4.533333333,1.666666667,2.6,2.866666667,3.2,2.4,3.266666667,3.133333333,0.674420286,-0.279170547,-1.383234298,0.334574229
91landscape-painting-6,3.666666667,3.2,2.133333333,2.8,4.066666667,2.933333333,3.066666667,3.6,3,4.066666667,3.733333333,1.733333333,-0.083524351,-0.359473124,-0.069993362,-0.627975641
92Goyo Dominguez 1960 - Spanish-born British Romantic Realist painter - TuttArt@ (26),4.333333333,1.866666667,2.333333333,2.6,3.533333333,2.466666667,2.6,2.6,2.933333333,4.2,2.533333333,1.533333333,-0.793799736,-0.668544405,-0.689632339,-0.130737255
93Sergey Kustarev - TuttArt@ - (4),2.6,3.066666667,3.533333333,2.933333333,4.066666667,1.266666667,3.933333333,3.4,2.666666667,2,1.8,3,-0.032255517,0.634530084,-1.837041054,-0.182276317
94-realistic-painting-musician,4.666666667,1.2,4.466666667,2.2,2.866666667,3.6,2.866666667,3.733333333,4.933333333,4.866666667,1.733333333,2.333333333,-1.749749745,1.796168059,0.643081059,-0.807106768
95Cherry_Ripe_1879,4.666666667,1.4,2.333333333,1.866666667,2.733333333,3.2,2.2,2.733333333,2.866666667,4.666666667,1.2,1.4,-1.405009772,-0.581472611,-0.187971184,0.551882446
96abstract-flower-botanical-watercolor-painting-print-svetlana-novikova,2.933333333,3.933333333,1.533333333,2.733333333,4.066666667,3.466666667,2.866666667,2.066666667,2.733333333,3.2,3.933333333,2.2,1.029335994,-0.963246835,0.220870305,-0.493703987
97Animal-Oil-Painting-Art-Painting-On-100-Canvas-AN-10013-A-,4.333333333,1.666666667,3.666666667,2.066666667,2.666666667,2.666666667,1.866666667,3.133333333,2.866666667,4.533333333,2.133333333,1.666666667,-1.237817962,-0.239761734,0.081385821,-1.442817413
98_009-113,4.4,2.6,2.866666667,2.2,4.333333333,3.4,2.2,2.8,2.466666667,4.133333333,2.2,1.6,-0.661218553,-0.551778648,-0.460460434,-0.470601782
99dolphin-and-sun-1000,3.4,3.4,4.266666667,2.933333333,3.866666667,3.6,1.8,2.266666667,3.6,2.8,2.866666667,2.333333333,0.199172399,0.370305502,0.489197766,-0.418510095
