68.942,0.44152,5,18201,1.2566,7,0,0.41419,-1.0064,0.8471,0.088608,1
125.09,0.21686,7,6424,3.1416,7,0,0.63453,-0.5454,0.83,0.13191,1
35.518,0.41943,10,15001,2.8274,3,0,0.50028,-0.7489,0.7095,0.077626,1
69.823,0.14952,5,5629,1.2566,7,0,0.35528,-1.1564,0.75,0.071429,1
45.652,0.61287,2,37130,0.31416,6,0,0.73853,-0.34312,0.73275,0.13571,0.089189
50.115,0.26555,3,49645,0.62832,6,0,0.59369,-0.53191,0.429,0.05,1
81.563,0.25336,5,14536,3.1416,7,0,0.47143,-0.92755,0.90528,0.15464,1
50.53,0.59529,5,29242,1.2566,7,0,0.65534,-0.47169,0.70344,0.11429,0.24501
69.739,0.25373,4,29848,2.8274,6,0,0.50834,-0.72719,0.77343,0.086651,1
124.37,0.34927,4,12984,2.8274,6,0,0.68709,-0.48841,0.84,0.14286,1
71.204,0.1685,4,8248,0.94248,6,0,0.61741,-0.51113,0.67968,0.061856,1
112.19,0.27558,5,10614,3.1416,6,0,0.55884,-0.71301,0.89,0.089947,1
65.613,0.21334,2,24198,0.31416,7,0,0.52542,-0.7402,0.8748,0.10345,0.46071
23.691,0.67458,2,20507,0.31416,7,0,0.39747,-0.99198,0.67682,0.068493,1
39.828,0.43458,3,36156,0.62832,6,0,0.57392,-0.6484,0.83248,0.057143,1
25.649,0.19323,8,4946,2.1991,3,0,0.52995,-0.63812,0.3402,0.043478,1
123.88,0.15671,7,4495,1.885,6,0,0.5691,-0.66907,0.89,0.056604,1
118,0.38766,6,13794,3.1416,6,0,0.51949,-0.80518,0.92,0.1746,0.39683
28.734,0.41771,12,7208,2.8274,7,0,0.46199,-0.78718,0.35397,0.021429,1
155.81,0.14358,6,2777,2.5133,6,0,0.39088,-1.0855,0.80278,0.092511,1
62.537,0.16301,7,4404,1.885,7,0,0.48855,-0.76123,0.64152,0.068493,1
87.055,0.17603,4,9126,0.94248,6,0,0.42583,-0.9065,0.71248,0.064286,1
184.98,0.22675,4,12830,0.94248,7,0,0.57438,-0.64498,0.7744,0.087179,1
31.178,0.39899,1,40513,0,7,0,0.43038,-0.92925,0.6776,0.042857,0.082143
71.822,0.21702,1,20149,0,7,0,0.47347,-0.93701,0.94,0.064286,1
84.904,0.41696,8,17328,2.8274,6,0,0.3353,-1.2279,0.717,0.09375,0.23214
72.89,0.45021,2,24437,0.31416,6,0,0.46908,-0.85625,0.76788,0.10881,1
153.25,0.23651,14,4932,1.885,6,0,0.77345,-0.30207,0.76,0.083004,0.33929
55.588,0.44682,2,25429,0.31416,7,0,0.4539,-0.9195,0.82147,0.1123,0.44643
190.67,0.11409,1,6085,0,6,0,0.53168,-0.69523,0.76095,0.081395,0.10465
173.42,0.13977,6,2133,2.5133,6,0,0.62756,-0.52598,0.85,0.092025,1
139.94,0.29629,13,6828,1.5708,6,0,0.59629,-0.6629,0.92,0.14286,1
53.029,0.1583,2,10513,0.31416,6,0,0.51627,-0.69597,0.55209,0.062147,1
121.45,0.24306,5,12524,2.8274,6,0,0.69106,-0.38834,0.55488,0.076142,1
39.312,0.39881,2,23728,0.31416,7,0,0.34602,-1.1665,0.72324,0.039301,1
63.92,0.32552,2,29826,0.31416,7,0,0.34706,-1.2296,0.74151,0.064286,0.60807
77.72,0.43938,3,20047,3.1416,6,0,0.43421,-1.0188,0.80976,0.057143,0.33906
326.46,0.20288,1,526,0,7,0,0.11734,-2.1559,0.1398,0.0071429,0.24286
203.65,0.19504,3,10874,2.8274,6,0,0.44805,-0.99336,0.91,0.085714,1
